model,lake,cali,metric,value
Simstrat-LER,Bryrup,uncalibrated,bias,0.71682
Simstrat-LER,BurleyGriffin,uncalibrated,rmse,2.30328
Simstrat-LER,BurleyGriffin,uncalibrated,nse,0.76709
Simstrat-LER,BurleyGriffin,uncalibrated,r,0.93884
Simstrat-LER,BurleyGriffin,uncalibrated,bias,0.54712
Simstrat-LER,Chao,uncalibrated,rmse,2.5776
Simstrat-LER,Chao,uncalibrated,nse,0.90496
Simstrat-LER,Chao,uncalibrated,r,0.984
Simstrat-LER,Chao,uncalibrated,bias,2.04052
Simstrat-LER,Crystal,uncalibrated,rmse,1.76655
Simstrat-LER,Crystal,uncalibrated,nse,0.91299
Simstrat-LER,Crystal,uncalibrated,r,0.97212
Simstrat-LER,Crystal,uncalibrated,bias,-0.85294
Simstrat-LER,CrystalBog,uncalibrated,rmse,3.45684
Simstrat-LER,CrystalBog,uncalibrated,nse,0.78444
Simstrat-LER,CrystalBog,uncalibrated,r,0.91923
Simstrat-LER,CrystalBog,uncalibrated,bias,-0.43702
Simstrat-LER,Delavan,uncalibrated,rmse,3.24281
Simstrat-LER,Delavan,uncalibrated,nse,0.77908
Simstrat-LER,Delavan,uncalibrated,r,0.94365
Simstrat-LER,Delavan,uncalibrated,bias,1.14264
Simstrat-LER,Dickie,uncalibrated,rmse,6.03995
Simstrat-LER,Dickie,uncalibrated,nse,-0.18297
Simstrat-LER,Dickie,uncalibrated,r,0.69323
Simstrat-LER,Dickie,uncalibrated,bias,3.75096
Simstrat-LER,Eagle,uncalibrated,rmse,2.06531
Simstrat-LER,Eagle,uncalibrated,nse,0.88983
Simstrat-LER,Eagle,uncalibrated,r,0.94362
Simstrat-LER,Eagle,uncalibrated,bias,-0.03611
Simstrat-LER,Ekoln,uncalibrated,rmse,1.16191
Simstrat-LER,Ekoln,uncalibrated,nse,0.95189
Simstrat-LER,Ekoln,uncalibrated,r,0.97806
Simstrat-LER,Ekoln,uncalibrated,bias,0.27238
Simstrat-LER,Erken,uncalibrated,rmse,2.48169
Simstrat-LER,Erken,uncalibrated,nse,0.79932
Simstrat-LER,Erken,uncalibrated,r,0.95444
Simstrat-LER,Erken,uncalibrated,bias,1.37058
Simstrat-LER,EsthwaiteWater,uncalibrated,rmse,2.69683
Simstrat-LER,EsthwaiteWater,uncalibrated,nse,0.62488
Simstrat-LER,EsthwaiteWater,uncalibrated,r,0.92002
Simstrat-LER,EsthwaiteWater,uncalibrated,bias,0.92533
Simstrat-LER,FallingCreek,uncalibrated,rmse,10.18651
Simstrat-LER,FallingCreek,uncalibrated,nse,-1.93376
Simstrat-LER,FallingCreek,uncalibrated,r,0.64623
Simstrat-LER,FallingCreek,uncalibrated,bias,8.94179
Simstrat-LER,Feeagh,uncalibrated,rmse,1.05237
Simstrat-LER,Feeagh,uncalibrated,nse,0.90916
Simstrat-LER,Feeagh,uncalibrated,r,0.96758
Simstrat-LER,Feeagh,uncalibrated,bias,-0.18177
Simstrat-LER,Fish,uncalibrated,rmse,3.96128
Simstrat-LER,Fish,uncalibrated,nse,0.61332
Simstrat-LER,Fish,uncalibrated,r,0.86746
Simstrat-LER,Fish,uncalibrated,bias,1.7658
Simstrat-LER,GreatPond,uncalibrated,rmse,6.89167
Simstrat-LER,GreatPond,uncalibrated,nse,-0.64802
Simstrat-LER,GreatPond,uncalibrated,r,0.48611
Simstrat-LER,GreatPond,uncalibrated,bias,4.27762
Simstrat-LER,Green,uncalibrated,rmse,1.96871
Simstrat-LER,Green,uncalibrated,nse,0.87998
Simstrat-LER,Green,uncalibrated,r,0.96256
Simstrat-LER,Green,uncalibrated,bias,1.16786
Simstrat-LER,Harp,uncalibrated,rmse,3.61993
Simstrat-LER,Harp,uncalibrated,nse,0.41934
Simstrat-LER,Harp,uncalibrated,r,0.85738
Simstrat-LER,Harp,uncalibrated,bias,1.85393
Simstrat-LER,Hassel,uncalibrated,rmse,6.00689
